iter	RMSE
155	0.2387857467
156	0.2387738597
157	0.238762686
158	0.2387444833
159	0.2387302448
160	0.2387149748
161	0.2387016703
162	0.2386930753
163	0.2386755031
164	0.2386611979
165	0.2386484288
166	0.2386388707
167	0.238632168	0.238894868
169	0.2388815815
170	0.2388722053
171	0.2388578415
172	0.2388536253
173	0.2388403163
174	0.238830936
175	0.2388183709
176	0.2388055784
177	0.2387907269
178	0.2387789954
179	0.2387690226
180	0.2387541381
181	0.2387458378
182	0.2387263456
183	0.2387153981
184	0.2387034749
185	0.2386890797
186	0.2386792106
187	0.2386670204
188	0.2386592388
189	0.2386512639
190	0.2386429013
191	0.238625965
192	0.2386089604
193	0.2385938206
194	0.2385804655
195	0.238564147
196	0.2385559776
197	0.2385407861
198	0.2385181864
199	0.2385061225
200	0.2384964892
201	0.2384809336
202	0.2384676392
203	0.2384589341
204	0.2384464715
205	0.2384294744
206	0.2384125569
207	0.2383971303
208	0.2383859995
209	0.2383762995
210	0.2383583818
211	0.2383422192
212	0.238333263
213	0.2383265832
214	0.2383121314
215	0.2383051272
216	0.2382951653
217	0.2382858881
218	0.2382723918
219	0.2382598583
220	0.2382492461
221	0.2382365788
222	0.222	0.2378954773
223	0.2378830434
224	0.2378660156
225	0.2378535475
226	0.2378413414
227	0.2378331252
228	0.2378119552
229	0.237801416
230	0.2377844141
231	0.2377760792
232	0.2377581185
233	0.2377455963
234	0.2377348102
235	0.2377192879
236	0.2377052277
237	0.2376984188
238	0.2376834896
239	0.2376694429
240	0.2376575989
241	0.2376438683
242	0.2376305151
243	0.2376112141
244	0.2375997447
245	0.2375878601
246	0.2375702935
247	0.237560639
248	0.2375524851
249	0.2375404639
250	0.2375298975
251	0.237518751
252	0.23750578
253	0.237497218
254	0.2374875048
255	0.2374706669
256	0.2374599269
257	0.2374482316
258	0.2374397154
259	0.2374302260	0.2377901553
261	0.2377797048
262	0.237767062
263	0.2377546931
264	0.2377499113
265	0.2377361229
266	0266	0.2373425816
267	0.2373284113
268	0.2373171595
269	0.2373053698
270	0.2372943479
271	0.237281397
272	0.2372672743
273	0.2372491143
274	0.2372398529
275	0.2372285314
276	0.2372198654
277	0.2372040577
278	0.2371829623
279	0.2371733667
280	0.2371592224
281	0.2371489016
282	0.2371365182
283	0.2371231717
284	0.237108599
285	0.237097935
286	0.2370781844
287	0.2370661531
288	0.2370495045
289	0.2370383221
290	0.2370241338
291	0.2370173658
292	0.237007041
293	0.2370009906
294	0.2369932304
295	0.2369827838
296	0.2369739653
297	0.2369588459
298	0.2369518637
299	0.236938385
300	0.2369241557
301	0.2369130792
302	0.2369003072
303	0.2368967071
304	0.2368865651
305	0.2368708005
306	0.2368609068
307	0.2368494712
308	0.2368368289
309	0.2368267906
310	0.2368108607
311	0.2367897985
312	0.2367760482
313	0.2367660032
314	0.2367567693
315	0.2367451063
316	0.2367343181
317	0.2367218107
318	0.2367130706
319	0.2367046171
320	0.236697299
321	0.2366884905
322	0.2366812101
323	0.2366735824
324	0.236670852
325	0.2366620402
326	0.2366559007
327	0.2366408152
328	0.2366249293
329	0.2366145916
330	0.23660067
331	0.2365849396
332	0.2365700609
333	0.2365609264
334	0.2365525882
335	0.2365356087
336	0.236524933
337	0.2365122732
338	0.236504742
339	0.2364880956
340	0.2364749595
341	0.2364623668
342	0.2364552951
343	0.2364447726
344	0.2364339879
345	0.2364254538
346	0.2364183698
347	0.2364120618
348	0.2364051775
349	0.2363969853
350	0.2363868196
351	0.2363674115
352	0.2363523156
353	0.2363494552
354	0.2363349423
355	0.2363292475
356	0.2363182984
357	0.2363089165
358	0.2363019393
359	0.2362880822
360	0.236265284
361	0.2362488945
362	0.236234255
363	0.236220409
364	0.236207996
365	0.2361951965
366	0.2361855801
367	0.2361700584
368	0.2361621884
369	0.2361614671
370	0.2361469744
371	0.2361376615
372	0.2361256584
373	0.2361113417
374	0.2360993714
375	0.2360865787
376	0.236077904
377	0.2360658205
378	0.2360520693
379	0.2360440205
380	0.2360279052
381	0.2360244722
382	0.2360155498
383	0.2360137152
384	0.236005569
385	0.23599713
386	0.2359827678
387	0.2359649222
388388	0.2344206313
389	0.2344085115
390	0.2343949755
391	0.2343797035
392	0.234370225
393	0.2343610615
394	0.2343470408
395	0.2343313378
396	0.2343223039
397	0.2343088722
398	0.2342997399	0.2357978841
400	0.2357876439
401	0.2357724902
402	0.2357641563
403	0.2357453087
404	0.2357382214
405	0.2357309604
406	0.2357254801
407	0.2357153419
408	0.2357075504
409	0.2356980881
410	0.2356794843
411	0.2356697534
412	0.235657367
413	0.2356472939
414	0.2356388304
415	0.2356312746
416	0.2356251255
417	0.2356210009
418	0.2356124322
419	0.235599531
420	0.2355993757
421	0.2355912376
422	0.2355783769
423	0.235569847
424	0.2355560482
425	0.2355413486
426	0.235535564
427	0.2355192658
428	0.235510315
429	0.2354977697
430	0.235488561
431	0.2354776316
432	0.2354674582
433	0.2354666815
434	0.2354573762
435	0.2354433275
436	0.2354325116
437	0.235421169
438	0.235406284
439	0.235398709
440	0.2353920972
441	0.2353840104
442	0.2353708887
443	0.2353546755
444	0.2353406151
445	0.2353202391
446	0.2353112654
447	0.2353041083
448	0.2352927646
449	0.2352769481
450	0.2352684361
451	0.2352526492
452	0.2352457988
453	0.235229318
454	0.2352222222
455	0.2352148285
456	0.2352074289
457	0.2351965764
458	0.235190139
459	0.2351769066
460	0.2351639655
461	0.2351610623
462	0.2351483041
463	0.2351411186
464	0.2351282438
465	0.2351205797
466	0.2351087131
467	0.2350984517
468	0.2350879504
469	0.235082397
470	0.2350720649
471	0.23506055
472	0.2350553762
473	0.2350452578
474	0.2350324782
475	0.2350229699
476	0.2350176444
477	0.2350040794
478	0.2349997703
479	0.2349910717
480	0.234984011
481	0.2349754945
482	0.2349648037
483	0.2349502267
484	0.2349379731
485	0.234924255
486	0.2349136124
487	0.2349022694
488	0.234890346
489	0.23487842
490	0.2348627829
491	0.2348543668
492	0.2348462552
493	0.2348311352
494	0.2348196373
495	0.2348048348
496	0.2347871461
497	0.2347824514
498	0.2347757416
499	0.2347617557
500	0.2347471919
501	0.234737739
502	0.2347241611
503	0.2347102913
504	0.2347024903
505	0.2346934709
506	0.2346788487
507	0.2346725696
508	0.2346624118
509	0.2346494972
510	0.2346354948
511	0.2346260476
512	0.2346195392
513	0.2346110183
514	0.2346014416
515	0.2345933479
516	0.2345831123
517	0.2345758905
518	0.2345679256
519	0.2345596476
520	0.2345473111
521	0.2345418072
522	0.2345314827
523	0.2345222597
524	0.2345161696
525	0.2344991812
526	0.2344817507
527	0.2344705789
528	0.2344634837
529	0.2344513293
530	0.2344388372
531	0.2344238804
532	0.2344087601
533	0.2344049568
534	0.2343959532
535	0.2343885486
536	0.2343806256
537	0.2343600232
538	0.2343481647
539	0.2343412471
540	0.2343317382
541	0.2343208451
542	0.2343118368
543	0.2343046317
544	0.2343001725
545	0.2342947505
546	0.2342819215
547	0.234271803
548	0.2342589622
549	0.2342518124
550	0.2342462149
551	0.2342376162
552	0.2342279615
553	0.2342181073
554	0.234202541
555	0.2341925966
556	0.2341860329
557	0.2341802367
558	0.2341716024
559	0.2341593513
560	0.2341501309
561	0.2341399907
562	0.2341274563	0.2346425069
564	0.2346322953
565	0.23462379
566	0.2346191903
567	0.2346123974
568	0.2346019317
569	0.2345972087
570	0.2345942692
571	0.2345800886
572	0.572	0.23403573	0.2345618859
574	0.2345516638
575	0.2345440772
576	0.2345386025
577	0.2345263542
578	0.2345173708
579	0.2345034192
580	0.2344967629
581	0.234484415
582	0.2344775485
583	0.2344632293
584	0.2344526413
585	0.2344487624
586	0.2344368189
587	0.2344246657
588	0.2344166944
589	0.2344094714
590	0.2344024534
591	0.234394047
592	0.2343888641
593	0.234382454
594	0.2343738309
595	0.2343670609
596	0.2343581957
597	0.2343464769
598	0.2343348828
599	0.2343291094
600	0.2343225344
601	0.2343183322
602	0.2343108621
603	0.23429819
604	0.2342874074
605	0.2342605	0.2337055809
606	0.2336952481
607	0.2336828219
608	0.2336739121
609	0.2336600656
610	0.2336551778
611	0.2336443315
612	0.2336364057
613	0.2336274671
614	0.2336154564
615	0.2336053644
616	0.2335955551
617	0.2335820353
618	0.2335650018
619	0.2335519611
620	0.2335408255
621	0.2335226531
622	0.2335163529
623	0.2335080694
624	0.2334959316
625	0.2334871553
626	0.2334749468
627	0.2334650926
628	0.2334570219
629	0.2334494808
630	0.23344045
631	0.2334323913
632	0.233411918
633	0.2334008008
634	0.2333933599
635	0.2333866154
636	0.2333806391
637	0.2333750679
638	0.2333650376
639	0.2333499594
640	0.2333396251
641	0.2333236511
642	0.2333152354
643	0.2333026176
644	0.233295534645	0.2319373668
646	0.2319252352
647	0.2319151005
648	0.231908802
649	0.2318964247
650	0.2318842006
651	0.2318766827
652	0.2318686339
653	0.2318585814
654	0.2318532723
655	0.2318425595
656	0.2318327973
657	0.2318230762
658	0.2318134788
659	0.2318041676
660	0.2317993382
661	0.2317931278
662	0.2317827174
663	0.2317737593
664	0.2317669968
665	0.2317538133
666	0.2317466571
667	0.2317414662
668	0.2317361966
669	0.2317236929
670	0.2317135087
671	0.2316982387
672	0.2316921068
673	0.2316846335
674	0.2316774847
675	0.2316642155
676	0.2316570875
677	0.2316558598
678	0.2316437863
679	0.2316389544
680	0.2316279572
681	0.2316135393
682	0.2316043434
683	0.2315988511
684	0.2315855921
685	0.2315759282
686	0.231566799
687	0.2315577326
688	0.2315572791
689	0.2315449231
690	0.2315383495
691	0.2315336636
692	0.2315238443
693	0.231517072
694	0.2315055004
695	0.23149392
696	0.231481869
697	0.231471526
698	0.2314679735
699	0.2314578991
700	0.2314512115
701	0.2314421797
702	0.2314348498
703	0.2314290766
704	0.2314178793
705	0.2314055069
706	0.2313951812
707	0.2313823088
708	0.2313740814
709	0.2313631432
710	0.2313554834
711	0.2313415821
712	0.2313329666
713	0.2313242895
714	0714	0.2325638167
715	0.2325536045
716	0.2325481099
717	0.2325353777
718	0.2325263908
719	0.2325122622
720	0.2325009343
721	0.2324924013
722	0.2324853407
723	0.2324688546
724	0.2324584121
725	0.2324449086
726	0.2324306973
727	0.2324213109
728729	0.23307055
730	0.2330655219
731	0.2330569004
732	0.2330459255
733	0.2330368098
734	0.233026962
735	0.2330157584
736	0.2330060973
737	0.2329946862
738	0.2329835959
739	0.2329743481
740	0.2329656128
741	0.2329555691
742	0.2329459843
743	0.2329344524
744	0.2329225153
745	0.2329005349
746	0.2328896221
747	0.2328785435
748	0.2328695931
749	0.2328573721
750	0.2328510213
751	0.2328382264
752	0.2328318109
753	0.2328247753	0.2321295514
754	0.2321206416
755	0.2321083444
756	0.2321002149
757	0.2320907251
758	0.2320799065
759	0.2320691206
760	0.2320551902
761	0.2320495829
762	0.232031836
763	0.2320192865
764	0.2320087954
765	0.2319942474
766	0.2319850653
767	0.2319781686
768	0.2319677887
769	0.2319531205
770	0.2319442978
771	0.2319314039
772	0.2319213189
773	0.2319102436
774	0.2319048468
775	0.2318967237
776	0.2318858471
777	0.2318716615
778	0.2318629753
779	0.2318502042
780	0.2318366782
781	0.2318275576
782	0.2318215912
783	0.2318126201
784	0.2318048097
785	0.2317953266
786	0.2317838984
787	0.231777696
788	0.2317669486
789	0.2317592097
790	0.2317532874
791	0.2317412537
792	0.2317290736
793	0.2317199403
794	0.2317106638
795	0.2316996903
796	0.231688909
797	0.2316773244
798	0.2316625788
799	0.2316502715
800	0.2316801	0.2304347234
802	0.2304226224
803	0.2304110775
804	0.2303999531
805	0.2303903241
806	0.2303801904
807	0.2303693387
808	0.2303596483
809	0.230345041
810	0.2303340843
811	0.2303247745
812	0.2303132108
813	0.2302994333
814	0.2302846408
815	0.2302731159
816	0.2302638124
817	0.2302526479
818	0.2302424646
819	0.2302353241
820	0.230224061
821	0.2302186418
822	0.2302040087
823	0.2301952481
824	0.2301804002
825	0.2301713835
826	0.2301597898
827	0.2301515192
828	0.2301400833
829	0.23013407
830	0.2301231558
831	0.2301110003
832	0.2301017658
833	0.2300888044
834	0.2300780071
835	0.2300681105
836	0.2300589493
837	0.2300461639
838	0.2300349801
839	0.2300284147
840	0.230016764
841	0.2300100779
842	0.2299960501
843	0.2299829978
844	0.2299733915
845	0.22845	0.231130894
846	0.2311218151
847	0.2311145527
848	0.2311012825
849	0.2310969245
850	0.2310892178
851	0.2310773048
852	0.231062872
853	0.231051899
854	0.2310380574
855	0.2310271103
856	0.2310192533
857	0.2310075554
858	0.2309970292
859	0.2309888636
860	0.2309776495
861	0.2309676923
862	0.2309566706
863	0.2309438853
864	0.2309291513
865	0.230918321
866	0.2309025887
867	0.2308891642
868	0.230879721
869	0.2308686977
870	0.2308587463
871	0.2308456305
872	0.2308359033
873	0.2308253481
874	0.2308149781
875	0.2308034022
876	0.230792966
877	0.2307870084
878	0.2307747304
879	0.230762881
880	0.230750874
881	0.2307366891
882	0.2307248104
883	0.2307162553
884	0.2307028922
885	0.2306921559
886	0.2306838597
887	0.2306716897
888	0.2306566374
889	0.2306447254
890	0.2306350406
891	0.2306269747
892	0.2306139889
893	0.2306022181
894	0.230592365
895	0.2305849049
896	0.2305730989
897	0.230559841
898	0.2305496019
899	0.230539887900	0.2294181516
901	0.2294086191
902	0.2294025911
903	0.2293932495
904	0.2293811818
905	0.2293690724
906	0.229359054
907	0908	0.231211838908	0.230441848
909	0.2304325494
910	0.2304249296
911	0.2304158851
912	0.2304057953
913	0.2303949177
914	0.2303812797
915	0.2303697005
916	0.2303550954
917	0.2303459661
918	0.2303361307
919	0.2303232183
920	0.2303094838
921	0.2302975613
922	0.230284997
923	0.2302746835
924	0.230261188
925	0.230252128
926	0.2302400901
927	0.230230049
928	0.2302148867
929	0.2302053528
930	0.2301915772
931	0.2301800096
932	0.2301657439
933	0.2301569022
934	0.230145612
935	0.230134848
936	0.2301210242
937	0.2301109431
938	0.2300991882
939	0.2300898478
940	0.2300804168
941	0.2300648805
942	0.2300553961
943	0.2300437392
944	0.2300369459
945	0.2300230775
946	0.230015478
947	0.2300054323
948	0.2299943308
949	0.2299822757
950	0.2299726024
951	0.2299598921
952	0.2299536925
025061
