iter	Passed	Remaining
404	896	1212
405	896	1208
406	897	1203
407	897	1198
408	897	1194
409	898	1189
410	898	1184
411	898	1180
412	89399	909	1257
400	909	1252
401	910	1247
402	910	1242
403	911417	93404	923418	959	1223
419	960	1219
420	961	1214
421	961	1209
422	96409	1024	1356
410	1026	1354
411	1085	1425
412	1086	1420
413	1087	1415
414	1087	1410
415	1088	1404
416	1088	1399
417	1088	1393
418	1089	1388
419	1089	1382
420	1089	1377
421	1090	1371
422	1090	1366
423	1090	1361
424	1091	1355
425	1091	1350
426	1092	1345
427	1092	1340
428	1093	1335
429	1093	1330
430	1093	1324
431	1094	1319
432	1094	1314
433	1094	1309
434	1095	1304
435	1095	1299
436	1095	1293
437	1096	1288
438	1096	1283
439	1096	1278
440	1097	1273
441	1097	1268
442	1097	1263
443	1098	1258
444	1098	1254
445	1098	1249
446	1100	1245
447	1100	1240
448	1101	1236
449	1101	1231
450	1101	1226
451	1102	1221
452	1102	1216
453	1102	1212
454	1103	1207
455	1103	1202
456	1103	1197
457	1104	1193
458	1105	1189
459	1106	1186
460	1107	1181
461	1107	1177
462	1107	1172
463	1108	1167
464	1108	1163
465	1108	1158
466	1109	1154
467	1109	1150
468	1110	1145
469	1110	1141
470	1111	1137
471	1111	1133
472	1112	1128
473	1139	1151
474	1140	1147
475	1171	1173
476	1171	1169
477	1171	1164
478	1172	1160
479	1172	1155
480	1172	1151
481	1173	1146
482	1173	1142
483	1173	1137
484	1174	1133
485	1174	1128
486	1174	1124
487	1175	1119
488	1175	1115
489	1175	1111
490	1176	1106
491	1176	1102
492	1176	1098
493	1177	1093
494	1177	1089
495	1177	1085
496	1178	1081
497	1178	1076
498	1178	1072
499	1179	1068
500	1179	1064
501	1180	1060
502	1180	1055
503	1180	1051
504	1181	1047
505	1181	1043
506	1181	1039
507	1181	1035
508	1182	1031
509	1182	1027
510	1183	1023
511	1184	1019
512	1184	1015
513	1185	1012
514	1185	1008
515	1186	1004
516	1186	1000
517	1187	997
518	1187	993
519	1187	989
520	1188	985
521	1188	981
522	1189	977
523	118539	1226	938
540	1227	934
541	1227	931
542	1228	927
543	1264	950
544	1265	947
545	12530	1243	987
531	1243	984
532	1244	980
533	1245	977
534	1245	973
535	1246	969
536	1248	967
537	1248	963
538	1249	959
539	1250	956
540	1250	952
541	1251	948
542	1251	944
543	1251	941
544	1252	937
545	1269	946
546	1269	942
547	1270	938
548	1270	935
549	1270	931
550	1271	927
551	1271	923
552	1271	920
553	1272	916
554	1272	912
555	1272	908
556	1273	905
557	1273	901
558	1273	897
559	1274	894
560	1274	890
561	1275	887
562	1275	563	1304	899
564	1305	8958565	1305	89581	1307	833
582	1307	830
583	1318	833
584	1343	845
585	1343	841
586	1344	838
587	1344	834
588	1344	831
58574	1357	892
575	1362	892
576	1364	889
577	1365	885
578	1365	882
579	1366	878
580	1366	874
581	1367	871
582	1368	868
583	1369	865
584	1369	861
585	1444	904
586	1444	900
587	1444	896
588	1445	893
589	1445	889
590	1445	885
591	1446	881
592	1446	878
593	1446	874
594	1447	870
595	1447	867
596	1447	863
597	1448	859
598	1448	856
599	1448	852
600	1449	848
601	1449	845
602	1449	841
603	1450	838
604	1450	834
605	605	1445	827
606	1449	826
607	1451	823
608	1451	820
609	1452	816
610	1452	813
611	1452	809
612	1453	805
613	1453	802
614	1453	799
615	1454	795
616	1454	792
617	1454	788
618	1455	785
619	1455	781
620	1455	778
621	1456	774
622	1456	771
623	1456	768
624	1457	764
625	1457	761
626	1458	758
627	145643	1495	717
644	1495	714
645	1504	714
646	1507	712
647	1508	709
648	1508	706
649	1509	703
650	1509	700
651	1510	697
652	1510	694
653	1511	690
654	1511	687
655	1511	684
656	1512	681
657	1512	678
658	1513	675
659	1513	671
660	1513	668
661	1518	667
662	1519	664
663	1520	661
664	1520	658
665	1524	656
666	1524	653
667	1524	650
668	1525	647
669	1525	644
670	1526	641
671	1526	638
672	1526	635
673	1526	632
674	1527	629
675	1528	626
676	1528	623
677	1528	620
678	1529	617
679	1530	614
680	1530	611
681	1530	608
682	1531	605
683	1531	602
684	1532	599
685	1532	596
686	1532	593
687	1533	590
688	1533	587
689	1534	584
690	1535	582
691	1535	579
692	1536	576
693	1536	573
694	1541	572
695	1541	569
696	1542	566
697	1543	563
698	1543	560
699	1543	558
700	1544	555
701	1544	552
702	1544	549
703	1545	546
704	1545	543
705	1546	540
706	1546	538
707	1546	535
708	1547	532
709	1582	541
710	1582	538
711	1582	535
712	1583	532
713	1583	530
714	1583	527
715	1584	524
716	1584	521
717	1584	518
718	1585	515
719	1585	513
720	1585	510
721	1586	507
722	1586	504
723	1586	501
724	1586	499
725	1587	496
726	1587	493
727	1588	490
728	1588	488
729	15714	1576	524
715	1576	521
716	1577	519
717	1577	516
718	1577	513
719	1578	510
720	1578	507
721	1579	505
722	1579	502
723	1579	499
724	1580	496
725	1580	494
726	1580	491
727	1581	488
728	1581	729	1609	4974730	1624	493
731	1625	490
732	1625	487
733	1625	485
734	1626	482
735	1628	480
736	1646	482
737	1646	479
738	1647	477
739	1647	474
740	1648	471
741	1648	468
742	1649	466
743	1649	463
744	1649	460
745	1650	457
746	1650	455
747	1650	452
748	1651	449
749	1651	446
750	1651	444
751	1652	441
752	1652	438
753	753	1639	432
754	1649	432
755	1650	430
756	1650	427
757	1650	424
758	1667	426
759	1688	428
760	1688	425
761	1688	423
762	1689	420
763	1689	417
764	1689	415
765	1690	412
766	1690	409
767	1690	407
768	1691	404
769	1691	402
770	1691	399
771	1692	396
772	1692	394
773	1692	391
774	1693	388
775	169791	1732	352
792	1733	349
793	1733	347
794	1733	344
795	1734	342
796	1734	339
797	1735	337
798	1735	334
799	1735	331
800	1736	329
801	1741	327
802	1741	325
803	1742	322
804	1742	320
805	1742	317
806	1743	315
807	1743	312
808	1743	310
809	1744	307
810	1744	305
811	1744	302
812	1745	300
813	1745	298
814	1745	295
815	1746	293
816	1746	290
817	1746	288
818	1747	285
819	1747	283
820	1747	281
821	1748	278
822	1748	276
823	1748	273
824	1749	271
825	1749	268
826	1749	266
827	1750	264
828	1750	261
829	1750	259
830	1751	257
831	1751	254
832	1751	252
833	1752	250
834	1752	247
835	1752	245
836	1753	242
837	1753	240
838	1753	238
839	1754	235
840	1754	233
841	1754	231
842	1755	229
843	1755	226
844	1755	224
845	1756	222
846	1756	219
847	1756	217
848	1757	215
849	1757	212
850	1757	210
851	1757	208
852	1758	206
853	1758	203
854	1758	201
855	1771	200
856	1771	198
857	1771	196
858	1772	193
859	1772	191
860	1777	189
861	17846	1743	218
847	1744	215
848	1744	213
849	1744	211
850	174866	1805	179
867	1805	176
868	1805	174
869	1806	172
870	1806	170
871	1806	167
872	1966	180
873	1967	177
874	1967	175
875	1967	172
876	1968	170
877	1968	168
878	1968	165
879	1969	163
880	1969	160
881	1969	158
882	1970	156
883	1970	153
884	1970	151
885	1971	149
886	1971	146
887	1971	144
888	1972	141
889	1972	139
890	1972	137
891	1973	134
892	1973	132
893	1973	130
894	1974	127
895	1974	125
896	1974	123
897	1975	120
898	1975	118
899	1975	116
900	1995	115
901	1996	112
902	2002	110
903	2002	108
904	2003	106
905	2003	103
906	2004	101
907	2004	99
908	2004	97
909	2005	94
910	2005	92
911	2030	91
912	2030	88
913	2031	86
914	2031	84
915	2036	82
916	2040	80
917	2043	77
918	2045	75
919	2047	73
920	2054	71
921	2059	69
922	2062	67
923	2064	64
924	2067908	2042	98
909	2042	96
910	2043	94
911	2043	91
912	2049	89
913	2051	87
914	2054	85
915	2055	83
916	2055	80
917	2056	78
918	2056	76
919	2057	73
920	2057	71
921	2058	69
922	2058	66
923	2058	64
924	2059	62
925	2059	60
926	2059	57
927	2060	55
928	2060	53
929	2060	50
930	2061	48
931	2061	46
932	2061	44
933	2062	41
934	2062	39
935	2062	37
936	2063	35
937	2063	33
938	2063	30
939	2064	28
940	2064	26
941	2064	24
942	2065	21
943	2065	19
944	2065	17
945	2066	15
946	2066	13
947	2066	10
948	2067	8
949	2067	6
950	2067	4
951	2068	2
952	2068	0
